Network Name,Full Component Name,Label Name,
salience / ventral attention B,lateral prefrontal cortex,17Networks_RH_SalVentAttnB_PFCl,17Networks_RH_SalVentAttnB_PFCl_2
salience / ventral attention B,lateral prefrontal cortex,17Networks_RH_SalVentAttnB_PFCl,17Networks_RH_SalVentAttnB_PFCl_3
salience / ventral attention B,insula,17Networks_RH_SalVentAttnB_Ins,17Networks_RH_SalVentAttnB_Ins_1
salience / ventral attention B,insula,17Networks_RH_SalVentAttnB_Ins,17Networks_RH_SalVentAttnB_Ins_2
salience / ventral attention B,medial posterior prefrontal cortex,17Networks_RH_SalVentAttnB_PFCmp,17Networks_RH_SalVentAttnB_PFCmp_1
salience / ventral attention B,medial posterior prefrontal cortex,17Networks_RH_SalVentAttnB_PFCmp,17Networks_RH_SalVentAttnB_PFCmp_2
limbic B,orbital frontal cortex,17Networks_RH_LimbicB_OFC,17Networks_RH_LimbicB_OFC_1
limbic B,orbital frontal cortex,17Networks_RH_LimbicB_OFC,17Networks_RH_LimbicB_OFC_2
limbic B,orbital frontal cortex,17Networks_RH_LimbicB_OFC,17Networks_RH_LimbicB_OFC_3
limbic B,orbital frontal cortex,17Networks_RH_LimbicB_OFC,17Networks_RH_LimbicB_OFC_4
limbic B,orbital frontal cortex,17Networks_RH_LimbicB_OFC,17Networks_RH_LimbicB_OFC_5
limbic B,orbital frontal cortex,17Networks_RH_LimbicB_OFC,17Networks_RH_LimbicB_OFC_6
limbic A,temporal pole,17Networks_RH_LimbicA_TempPole,17Networks_RH_LimbicA_TempPole_1
limbic A,temporal pole,17Networks_RH_LimbicA_TempPole,17Networks_RH_LimbicA_TempPole_2
limbic A,temporal pole,17Networks_RH_LimbicA_TempPole,17Networks_RH_LimbicA_TempPole_3
limbic A,temporal pole,17Networks_RH_LimbicA_TempPole,17Networks_RH_LimbicA_TempPole_4
limbic A,temporal pole,17Networks_RH_LimbicA_TempPole,17Networks_RH_LimbicA_TempPole_5
limbic A,temporal pole,17Networks_RH_LimbicA_TempPole,17Networks_RH_LimbicA_TempPole_6
control A,intraparietal sulcus,17Networks_RH_ContA_IPS,17Networks_RH_ContA_IPS_1
control A,intraparietal sulcus,17Networks_RH_ContA_IPS,17Networks_RH_ContA_IPS_2
control A,intraparietal sulcus,17Networks_RH_ContA_IPS,17Networks_RH_ContA_IPS_3
control A,intraparietal sulcus,17Networks_RH_ContA_IPS,17Networks_RH_ContA_IPS_4
control A,dorsal prefrontal cortex,17Networks_RH_ContA_PFCd,17Networks_RH_ContA_PFCd_1
control A,lateral prefrontal cortex,17Networks_RH_ContA_PFCl,17Networks_RH_ContA_PFCl_1
control A,lateral prefrontal cortex,17Networks_RH_ContA_PFCl,17Networks_RH_ContA_PFCl_2
control A,lateral prefrontal cortex,17Networks_RH_ContA_PFCl,17Networks_RH_ContA_PFCl_3
control A,lateral prefrontal cortex,17Networks_RH_ContA_PFCl,17Networks_RH_ContA_PFCl_4
control A,lateral prefrontal cortex,17Networks_RH_ContA_PFCl,17Networks_RH_ContA_PFCl_5
control A,mid-cingulate,17Networks_RH_ContA_Cingm,17Networks_RH_ContA_Cingm_1
control B,temporal,17Networks_RH_ContB_Temp,17Networks_RH_ContB_Temp_1
control B,temporal,17Networks_RH_ContB_Temp,17Networks_RH_ContB_Temp_2
control B,inferior parietal lobule,17Networks_RH_ContB_IPL,17Networks_RH_ContB_IPL_1
control B,inferior parietal lobule,17Networks_RH_ContB_IPL,17Networks_RH_ContB_IPL_2
control B,inferior parietal lobule,17Networks_RH_ContB_IPL,17Networks_RH_ContB_IPL_3
control B,inferior parietal lobule,17Networks_RH_ContB_IPL,17Networks_RH_ContB_IPL_4
control B,lateral dorsal prefrontal cortex,17Networks_RH_ContB_PFCld,17Networks_RH_ContB_PFCld_1
control B,lateral dorsal prefrontal cortex,17Networks_RH_ContB_PFCld,17Networks_RH_ContB_PFCld_2
control B,lateral dorsal prefrontal cortex,17Networks_RH_ContB_PFCld,17Networks_RH_ContB_PFCld_3
control B,lateral dorsal prefrontal cortex,17Networks_RH_ContB_PFCld,17Networks_RH_ContB_PFCld_4
control B,lateral ventral prefrontal cortex,17Networks_RH_ContB_PFClv,17Networks_RH_ContB_PFClv_1
control B,lateral ventral prefrontal cortex,17Networks_RH_ContB_PFClv,17Networks_RH_ContB_PFClv_2
control B,lateral ventral prefrontal cortex,17Networks_RH_ContB_PFClv,17Networks_RH_ContB_PFClv_3
control B,lateral ventral prefrontal cortex,17Networks_RH_ContB_PFClv,17Networks_RH_ContB_PFClv_4
control B,medial posterior prefrontal cortex,17Networks_RH_ContB_PFCmp,17Networks_RH_ContB_PFCmp_1
control C,precuneus,17Networks_RH_ContC_pCun,17Networks_RH_ContC_pCun_1
control C,precuneus,17Networks_RH_ContC_pCun,17Networks_RH_ContC_pCun_2
control C,precuneus,17Networks_RH_ContC_pCun,17Networks_RH_ContC_pCun_3
control C,precuneus,17Networks_RH_ContC_pCun,17Networks_RH_ContC_pCun_4
control C,precuneus,17Networks_RH_ContC_pCun,17Networks_RH_ContC_pCun_5
control C,cingulate posterior,17Networks_RH_ContC_Cingp,17Networks_RH_ContC_Cingp_1
control C,cingulate posterior,17Networks_RH_ContC_Cingp,17Networks_RH_ContC_Cingp_2
default A,temporal,17Networks_RH_DefaultA_Temp,17Networks_RH_DefaultA_Temp_1
default A,inferior parietal lobule,17Networks_RH_DefaultA_IPL,17Networks_RH_DefaultA_IPL_1
default A,inferior parietal lobule,17Networks_RH_DefaultA_IPL,17Networks_RH_DefaultA_IPL_2
default A,dorsal prefrontal cortex,17Networks_RH_DefaultA_PFCd,17Networks_RH_DefaultA_PFCd_1
default A,dorsal prefrontal cortex,17Networks_RH_DefaultA_PFCd,17Networks_RH_DefaultA_PFCd_2
default A,precuneus posterior cingulate cortex,17Networks_RH_DefaultA_pCunPCC,17Networks_RH_DefaultA_pCunPCC_1
default A,precuneus posterior cingulate cortex,17Networks_RH_DefaultA_pCunPCC,17Networks_RH_DefaultA_pCunPCC_2
default A,precuneus posterior cingulate cortex,17Networks_RH_DefaultA_pCunPCC,17Networks_RH_DefaultA_pCunPCC_3
default A,precuneus posterior cingulate cortex,17Networks_RH_DefaultA_pCunPCC,17Networks_RH_DefaultA_pCunPCC_4
default A,precuneus posterior cingulate cortex,17Networks_RH_DefaultA_pCunPCC,17Networks_RH_DefaultA_pCunPCC_5
default A,medial prefrontal cortex,17Networks_RH_DefaultA_PFCm,17Networks_RH_DefaultA_PFCm_1
default A,medial prefrontal cortex,17Networks_RH_DefaultA_PFCm,17Networks_RH_DefaultA_PFCm_2
default A,medial prefrontal cortex,17Networks_RH_DefaultA_PFCm,17Networks_RH_DefaultA_PFCm_3
default A,medial prefrontal cortex,17Networks_RH_DefaultA_PFCm,17Networks_RH_DefaultA_PFCm_4
default A,medial prefrontal cortex,17Networks_RH_DefaultA_PFCm,17Networks_RH_DefaultA_PFCm_5
default A,medial prefrontal cortex,17Networks_RH_DefaultA_PFCm,17Networks_RH_DefaultA_PFCm_6
default B,temporal,17Networks_RH_DefaultB_Temp,17Networks_RH_DefaultB_Temp_1
default B,temporal,17Networks_RH_DefaultB_Temp,17Networks_RH_DefaultB_Temp_2
default B,anterior temporal,17Networks_RH_DefaultB_AntTemp,17Networks_RH_DefaultB_AntTemp_1
default B,dorsal prefrontal cortex,17Networks_RH_DefaultB_PFCd,17Networks_RH_DefaultB_PFCd_1
default B,dorsal prefrontal cortex,17Networks_RH_DefaultB_PFCd,17Networks_RH_DefaultB_PFCd_2
default B,dorsal prefrontal cortex,17Networks_RH_DefaultB_PFCd,17Networks_RH_DefaultB_PFCd_3
default B,dorsal prefrontal cortex,17Networks_RH_DefaultB_PFCd,17Networks_RH_DefaultB_PFCd_4
default B,dorsal prefrontal cortex,17Networks_RH_DefaultB_PFCd,17Networks_RH_DefaultB_PFCd_5
default B,ventral prefrontal cortex,17Networks_RH_DefaultB_PFCv,17Networks_RH_DefaultB_PFCv_1
default B,ventral prefrontal cortex,17Networks_RH_DefaultB_PFCv,17Networks_RH_DefaultB_PFCv_2
default B,ventral prefrontal cortex,17Networks_RH_DefaultB_PFCv,17Networks_RH_DefaultB_PFCv_3
default C,inferior parietal lobule,17Networks_RH_DefaultC_IPL,17Networks_RH_DefaultC_IPL_1
default C,inferior parietal lobule,17Networks_RH_DefaultC_IPL,17Networks_RH_DefaultC_IPL_2
default C,retrosplenial ,17Networks_RH_DefaultC_Rsp,17Networks_RH_DefaultC_Rsp_1
default C,retrosplenial ,17Networks_RH_DefaultC_Rsp,17Networks_RH_DefaultC_Rsp_2
default C,parahippocampal cortex,17Networks_RH_DefaultC_PHC,17Networks_RH_DefaultC_PHC_1
default C,parahippocampal cortex,17Networks_RH_DefaultC_PHC,17Networks_RH_DefaultC_PHC_2
temporal parietal,temporal parietal,17Networks_RH_TempPar,17Networks_RH_TempPar_1
temporal parietal,temporal parietal,17Networks_RH_TempPar,17Networks_RH_TempPar_2
temporal parietal,temporal parietal,17Networks_RH_TempPar,17Networks_RH_TempPar_3
temporal parietal,temporal parietal,17Networks_RH_TempPar,17Networks_RH_TempPar_4
temporal parietal,temporal parietal,17Networks_RH_TempPar,17Networks_RH_TempPar_5
temporal parietal,temporal parietal,17Networks_RH_TempPar,17Networks_RH_TempPar_6
temporal parietal,temporal parietal,17Networks_RH_TempPar,17Networks_RH_TempPar_7
temporal parietal,temporal parietal,17Networks_RH_TempPar,17Networks_RH_TempPar_8
temporal parietal,temporal parietal,17Networks_RH_TempPar,17Networks_RH_TempPar_9
temporal parietal,temporal parietal,17Networks_RH_TempPar,17Networks_RH_TempPar_10
